"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Period","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"USA","United States","B11","External balance of goods and services","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1964-Q2","Q2-1964","USD","US Dollar","6","Millions",,,6305,,
"USA","United States","B11","External balance of goods and services","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1964-Q3","Q3-1964","USD","US Dollar","6","Millions",,,6946,,
"USA","United States","B11","External balance of goods and services","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1964-Q4","Q4-1964","USD","US Dollar","6","Millions",,,7195,,
"USA","United States","B11","External balance of goods and services","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1965-Q1","Q1-1965","USD","US Dollar","6","Millions",,,4512,,
"USA","United States","B11","External balance of goods and services","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1965-Q2","Q2-1965","USD","US Dollar","6","Millions",,,6688,,
"USA","United States","B11","External balance of goods and services","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1965-Q3","Q3-1965","USD","US Dollar","6","Millions",,,5521,,
"USA","United States","B11","External balance of goods and services","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1965-Q4","Q4-1965","USD","US Dollar","6","Millions",,,5750,,
"USA","United States","B11","External balance of goods and services","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1966-Q1","Q1-1966","USD","US Dollar","6","Millions",,,4367,,
"USA","United States","B11","External balance of goods and services","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1966-Q2","Q2-1966","USD","US Dollar","6","Millions",,,4632,,
"USA","United States","B11","External balance of goods and services","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1966-Q3","Q3-1966","USD","US Dollar","6","Millions",,,2687,,
"USA","United States","B11","External balance of goods and services","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1966-Q4","Q4-1966","USD","US Dollar","6","Millions",,,3765,,
"USA","United States","B11","External balance of goods and services","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1967-Q1","Q1-1967","USD","US Dollar","6","Millions",,,4453,,
"USA","United States","B11","External balance of goods and services","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1967-Q2","Q2-1967","USD","US Dollar","6","Millions",,,4219,,
